ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),RUL
1446.0,0.0,20.0,30.588236,30.0,3.125,0.0,31.0,37.254902,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,1.0,95.199997,27.0,14.355,0.0,0.0,8808.0,0.0,255.0,99.00105152471083
1400.75,0.0,20.0,31.764706,31.0,3.125,0.0,32.0,37.254902,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,4.0,95.199997,27.0,14.355,0.0,0.0,8808.0,0.0,255.0,98.97476340694006
1400.75,0.0,20.0,31.764706,31.0,3.125,0.0,32.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,4.0,95.199997,27.0,14.355,0.0,0.0,8808.0,0.0,255.0,98.9484752891693
1400.75,0.0,20.0,31.764706,31.0,3.125,0.0,32.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,4.0,101.5,27.099998,14.375,0.0,0.0,8808.0,0.0,255.0,98.92218717139852
1400.75,0.0,20.0,30.588236,31.0,3.125,0.0,32.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,4.0,101.5,27.099998,14.375,0.0,0.0,8808.0,0.0,255.0,98.89589905362776
1450.0,0.0,20.0,30.588236,31.0,3.125,0.0,30.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,0.0,101.5,27.099998,14.375,0.0,0.0,8808.0,0.0,255.0,98.86961093585698
1450.0,0.0,20.0,30.588236,31.0,3.125,0.0,30.0,38.431374,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,0.0,114.0,27.5,14.375,0.0,0.0,8808.0,0.0,255.0,98.84332281808622
1450.0,0.0,20.0,30.588236,31.0,3.125,0.0,30.0,38.431374,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.784314,27.0,0.0,114.0,27.5,14.355,0.0,0.0,8808.0,0.0,255.0,98.81703470031546
1443.75,0.0,19.607843,28.627451,32.0,3.125,0.0,28.0,38.431374,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.784314,27.0,4.0,114.0,27.5,14.355,0.0,0.0,8808.0,0.0,255.0,98.79074658254468
1443.75,0.0,19.607843,28.627451,32.0,3.125,0.0,28.0,38.431374,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.784314,27.0,4.0,114.0,27.5,14.355,0.0,0.0,8808.0,0.0,255.0,98.76445846477392
1443.75,0.0,19.607843,28.627451,32.0,3.125,0.0,28.0,36.862743,51.372547,16.078432,31.764706,19.607843,0.0,101.0,0.0,27.0,4.0,126.0,28.0,14.355,0.0,0.0,8808.0,0.0,255.0,98.73817034700315
1443.75,0.0,19.607843,28.627451,32.0,3.125,0.0,28.0,36.862743,51.372547,16.078432,31.764706,19.215687,0.0,101.0,0.0,27.0,4.0,126.0,28.0,14.355,0.0,0.0,8808.0,0.0,255.0,98.71188222923239
1363.25,0.0,18.82353,25.490196,33.0,3.125,0.0,26.0,36.862743,51.372547,16.078432,31.764706,19.215687,0.0,101.0,0.0,28.0,8.0,126.0,28.0,14.355,0.0,0.0,8808.0,0.0,255.0,98.68559411146161
1363.25,0.0,18.82353,25.490196,33.0,3.125,0.0,26.0,36.07843,51.372547,16.078432,31.764706,19.215687,0.0,101.0,0.0,28.0,8.0,126.0,28.0,14.355,0.0,0.0,8808.0,0.0,255.0,98.65930599369085
1363.25,0.0,18.82353,25.490196,33.0,3.125,0.0,26.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,101.0,0.0,28.0,8.0,136.899994,28.5,14.355,0.0,0.0,8808.0,0.0,255.0,98.63301787592007
1363.25,0.0,18.82353,25.882353,33.0,3.125,0.0,26.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,101.0,0.0,28.0,8.0,136.899994,28.5,14.355,0.0,0.0,8808.0,0.0,255.0,98.60672975814931
1215.5,0.0,18.431372,25.882353,33.0,3.125,0.0,25.0,36.07843,50.980392,16.078432,31.764706,18.82353,0.0,101.0,0.0,28.0,8.0,136.899994,28.5,14.355,0.0,0.0,8808.0,0.0,255.0,98.58044164037855
1215.5,0.0,18.431372,25.882353,33.0,3.125,0.0,25.0,36.862743,50.980392,16.078432,31.764706,18.82353,0.0,101.0,0.0,28.0,8.0,141.699997,28.699997,14.355,0.0,0.0,8808.0,0.0,255.0,98.55415352260778
1215.5,0.0,18.431372,25.882353,33.0,3.125,0.0,25.0,36.862743,50.588234,16.078432,31.764706,18.431372,0.0,101.0,0.0,28.0,8.0,141.699997,28.699997,14.335,0.0,0.0,8808.0,0.0,255.0,98.52786540483702
1127.25,0.0,18.431372,26.274509,34.0,3.125,0.0,26.0,36.862743,50.588234,16.078432,31.764706,18.431372,0.0,101.0,0.0,28.0,7.0,141.699997,28.699997,14.335,0.0,0.0,8808.0,0.0,255.0,98.50157728706624
1127.25,0.0,18.431372,26.274509,34.0,3.125,0.0,26.0,36.862743,50.588234,16.078432,31.764706,18.431372,0.0,101.0,0.0,28.0,7.0,141.699997,28.699997,14.335,0.0,0.0,8808.0,0.0,255.0,98.47528916929548
1127.25,0.0,18.431372,26.274509,34.0,3.125,0.0,26.0,36.862743,50.196079,16.078432,31.764706,18.431372,0.0,101.0,0.0,28.0,7.0,150.600006,29.199997,14.316,0.0,0.0,8808.0,0.0,255.0,98.4490010515247
1127.25,0.0,18.431372,26.274509,34.0,3.125,0.0,26.0,36.862743,50.196079,16.078432,31.764706,18.039215,0.0,101.0,0.0,28.0,7.0,150.600006,29.199997,14.316,0.0,0.0,8808.0,0.0,255.0,98.42271293375394
1049.0,0.0,18.039215,26.666666,34.0,3.125,0.0,28.0,36.862743,50.196079,16.078432,31.764706,18.039215,0.0,101.0,0.0,28.0,6.0,150.600006,29.199997,14.316,0.0,0.0,8808.0,0.0,255.0,98.39642481598318
1049.0,0.0,18.039215,26.666666,34.0,3.125,0.0,28.0,36.862743,50.196079,16.078432,31.764706,18.039215,0.0,101.0,0.0,28.0,6.0,150.600006,29.199997,14.316,0.0,0.0,8808.0,0.0,255.0,98.3701366982124
1049.0,0.0,18.039215,26.666666,34.0,3.125,0.0,28.0,36.862743,49.803921,16.078432,31.764706,18.039215,0.0,101.0,0.0,28.0,6.0,158.399994,29.599998,14.316,0.0,0.0,8808.0,0.0,255.0,98.34384858044164
1049.0,0.0,18.039215,27.450981,35.0,3.125,0.0,28.0,36.862743,49.803921,16.078432,31.764706,18.039215,0.0,101.0,0.0,28.0,6.0,158.399994,29.599998,14.316,0.0,0.0,8808.0,0.0,255.0,98.31756046267087
967.75,0.0,20.0,27.450981,35.0,3.125,0.0,28.0,36.862743,49.803921,16.078432,31.764706,18.039215,0.0,101.0,0.0,28.0,6.0,158.399994,29.599998,14.316,0.0,0.0,8808.0,0.0,255.0,98.29127234490011
967.75,0.0,20.0,27.450981,35.0,3.125,0.0,28.0,36.862743,49.803921,16.078432,31.764706,18.039215,0.0,101.0,0.0,28.0,6.0,165.699997,30.099998,14.316,0.0,0.0,8808.0,0.0,255.0,98.26498422712933
967.75,0.0,20.0,27.450981,35.0,3.125,0.0,28.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,6.0,165.699997,30.099998,14.16,0.0,0.0,8808.0,0.0,255.0,98.23869610935857
1013.25,0.0,20.0,40.784313,35.0,1.5625,0.0,42.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,-3.0,165.699997,30.099998,14.16,0.0,0.0,8808.0,0.0,255.0,98.2124079915878
1013.25,0.0,20.0,40.784313,35.0,1.5625,0.0,42.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,-3.0,165.699997,30.099998,14.16,0.0,0.0,8808.0,0.0,255.0,98.18611987381703
1013.25,0.0,20.0,40.784313,35.0,1.5625,0.0,42.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,-3.0,169.699997,30.5,14.238,0.0,0.0,8808.0,0.0,255.0,98.15983175604627
1013.25,0.0,20.0,40.784313,35.0,1.5625,0.0,42.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,-3.0,169.699997,30.5,14.238,0.0,0.0,8808.0,0.0,255.0,98.1335436382755
855.25,0.0,20.0,41.176472,36.0,1.5625,0.0,45.0,36.07843,52.156864,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,6.0,169.699997,30.5,14.238,0.0,0.0,8808.0,0.0,255.0,98.10725552050474
855.25,0.0,20.0,41.176472,36.0,1.5625,0.0,45.0,36.862743,52.156864,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,6.0,169.699997,30.5,14.238,0.0,0.0,8808.0,0.0,255.0,98.08096740273396
855.25,0.0,20.0,41.176472,36.0,1.5625,0.0,45.0,36.862743,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,28.0,6.0,178.100006,31.199997,14.218,0.0,0.0,8808.0,0.0,255.0,98.0546792849632
